Glass Name,Source,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Specific Heat,Tensile Strength,Compressive Strength
N-LAK34,Schott,1.17E+11,0.29,45349998592,0.000007,4020.0 kg/m³,0.82,520,N/A,N/A
N-LAK33A,Schott,1.21E+11,0.292,46829998080,0.000007,4216.0 kg/m³,0.81,550,N/A,N/A
N-LAK22,Schott,89999998976,0.266,35549999104,0.000007,3768.0 kg/m³,0.88,550,N/A,N/A
N-LAK21,Schott,90999996416,0.272,35769999360,0.000008,3740.0 kg/m³,0.88,590,N/A,N/A
N-LAK14,Schott,1.11E+11,0.283,33770000384,0.000009,3630.0 kg/m³,0.86,640,N/A,N/A
N-LAK12,Schott,86999998464,0.288,33770000384,0.000009,4100.0 kg/m³,0.86,640,N/A,N/A
N-LAK10,Schott,1.16E+11,0.286,45099999232,0.000007,3689.0 kg/m³,0.86,640,N/A,N/A
N-LAF7,Schott,96000000000,0.271,37769998336,0.000008,3730.0 kg/m³,0.83,620,N/A,N/A
N-LAF36,Schott,1.1E+11,0.305,42149998592,0.000007,4431.0 kg/m³,0.79,540,N/A,N/A
N-LAF35,Schott,1.09E+11,0.301,41890000896,0.000006,4115.0 kg/m³,0.8,570,N/A,N/A
N-LAF34,Schott,1.23E+11,0.292,47600001024,0.000007,4240.0 kg/m³,0.56,800,N/A,N/A
N-LAF33,Schott,1.11E+11,0.301,42659999744,0.000007,4360.0 kg/m³,0.8,570,N/A,N/A
N-LAF3,Schott,95000002560,0.286,36940001280,0.000009,4140.0 kg/m³,0.83,550,N/A,N/A
N-LAF21,Schott,1.24E+11,0.295,47879999488,0.000007,4281.0 kg/m³,0.83,550,N/A,N/A
N-LAF2,Schott,93999996928,0.288,36489998336,0.000009,4295.0 kg/m³,0.67,510,N/A,N/A
N-KZFS8,Schott,1.0272E+11,0.248,41150001152,0.000009,3204.0 kg/m³,1.05,760,N/A,N/A
N-KZFS4,Schott,7.80E+10,0.241,3.14E+10,0.0000073,3000.0 kg/m³,0.84,760,7000000,N/A
N-KZFS2,Schott,65999998976,0.266,26069999616,0.000005,2552.0 kg/m³,0.81,830,N/A,N/A
N-KZFS11,Schott,79000002560,0.251,31569999872,0.000008,3196.0 kg/m³,0.81,690,N/A,N/A
N-KF9,Schott,65999998976,0.225,26940000256,0.000011,2499.0 kg/m³,1.04,860,N/A,N/A
N-K5,Schott,7.10E+10,0.224,2.90E+10,0.0000082,2590.0 kg/m³,0.95,783,N/A,N/A
N-FK51A,Schott,80999997440,0.293,31320000512,0.000015,3675.0 kg/m³,0.76,690,N/A,N/A
N-FK5,Schott,62000001024,0.232,25159999488,0.00001,2450.0 kg/m³,0.925,808,N/A,N/A
N-F2,Schott,82000003072,0.228,33390000128,0.000009,2651.0 kg/m³,1.05,810,N/A,N/A
N-BK7,Schott,8.20E+10,0.206,3.40E+10,8.00E-06,2510.0 kg/m³,1.114,858,N/A,N/A
N-BK10,Schott,70999998464,0.203,29510000640,0.000007,2390.0 kg/m³,1.32,810,N/A,N/A
N-BASF64,Schott,1.05E+11,0.264,41529999360,0.000009,3200.0 kg/m³,0.94,660,N/A,N/A
N-BASF2,Schott,83999997952,0.247,33679998976,0.000008,3151.0 kg/m³,0.94,660,N/A,N/A
N-BALF5,Schott,80999997440,0.214,33359998976,0.000008,2614.0 kg/m³,1.05,810,N/A,N/A
N-BALF4,Schott,76999999488,0.245,30919999488,0.000007,3111.0 kg/m³,0.85,690,N/A,N/A
N-BAK4,Schott,7.70E+10,0.24,3.11E+10,0.000007,3046.0 kg/m³,0.88,680,N/A,N/A
N-BAK2,Schott,70999998464,0.233,28789999616,0.000009,2860.0 kg/m³,0.92,690,N/A,N/A
N-BAK1,Schott,73000001536,0.252,29149999104,0.000009,3190.0 kg/m³,0.795,687,N/A,N/A
N-BAF52,Schott,86000001024,0.237,34759999488,0.000008,3045.0 kg/m³,0.96,680,N/A,N/A
N-BAF51,Schott,90999996416,0.262,36050000,0.000009,3333.0 kg/m³,0.67,840,N/A,N/A
N-BAF4,Schott,85000003584,0.231,34520000,0.000008,2889.0 kg/m³,1.02,740,N/A,N/A
N-BAF3,Schott,82000003072,0.226,33440000000,0.000008,2792.0 kg/m³,1.04,760,N/A,N/A
N-BAF10,Schott,89000001536,0.271,35009998848,0.000007,3745.0 kg/m³,0.78,560,N/A,N/A
LLF1,Schott,6.00E+10,0.208,2.48E+10,0.0000081,2940.0 kg/m³,0.866,650,N/A,N/A
LF5,Schott,59000000512,0.223,24120000512,0.000009,3220.0 kg/m³,0.866,657,N/A,N/A
LAFN7,Schott,80000000000,0.28,31249999872,0.000005,4380.0 kg/m³,0.77,636,N/A,N/A
KZFSN5,Schott,65000001536,0.275,25489999872,0.000006,3460.0 kg/m³,0.766,636,N/A,N/A
KZFSN4,Schott,59999997952,0.275,23530000384,0.000005,3200.0 kg/m³,0.766,636,N/A,N/A
KZFS12,Schott,65999998976,0.279,25799999488,0.000005,3836.0 kg/m³,0.71,540,N/A,N/A
K7,Schott,69000003584,0.214,28419999744,0.00001,2530.0 kg/m³,1.12,770,N/A,N/A
K10,Schott,65000001536,0.19,27310000128,0.000007,2520.0 kg/m³,1.12,770,N/A,N/A
F5,Schott,57999998976,0.22,23769999360,0.000009,3470.0 kg/m³,0.768,553,N/A,N/A
F4,Schott,56000000000,0.222,22909999104,0.000009,3580.0 kg/m³,0.768,553,N/A,N/A
SF57HT,Schott,5.40E+10,0.248,2.16E+10,8.00E-06,5510.0 kg/m³,0.62,360,N/A,N/A
F2,Schott,57000001536,0.22,23360000000,0.000009,3599.0 kg/m³,0.78,557,N/A,N/A
BK7-G18,Schott,8.20E+10,0.206,3.40E+10,8.00E-06,2510.0 kg/m³,1.114,858,N/A,N/A
P-SF67,Schott,N/A,0,N/A,6.20E-06,4240.0 kg/m³,N/A,530,N/A,N/A
N-SF2,Schott,8.60E+10,0.231,3.50E+10,0.0000067,2720.0 kg/m³,1.14,790,N/A,N/A
B270,Schott,7.15E+10,0.219,2.93E+10,0.0000094,2550.0 kg/m³,N/A,N/A,N/A,N/A
N-KZFS5,Schott,2000000000,0.243,N/A,6.40E-06,3041.0 kg/m³,0.95,730,N/A,N/A
Titanium Grade 12,Custom,1.02732E+11,0.33,41023813759,0.000005,4511.82574 kg/m³,24.9,460,619838799.5,N/A
T.B.D,Custom,3.99896E+11,0.28,1.55822E+11,0.000044,19292.899025 kg/m³,163.3,134,979055723.3,N/A
CDA BRASS ALLOY 360,Custom,99999997952,0.33,36999999488,0.000018,8500.0 kg/m³,110,390,478412992,N/A
CDA COPPER ALLOY 145,Custom,1.10E+11,0.37,4.00E+10,2.40E-05,8900.0 kg/m³,390,390,394380000,N/A
TUNGSTEN,Custom,3.99896E+11,0.28,1.55822E+11,0.000044,19292.899025 kg/m³,163.3,134,979055723.3,N/A
TITANIUM GRADE 5 (Ti-6Al-4V),Custom,1.14E+11,0.33,4.40E+10,0.0000086,4428.786003 kg/m³,6.7,526.3,903213205.8,861844662
AlBeMet,Custom,1.93E+11,0.17,8.20E+10,13.91,2071.011055 kg/m³,210,1560,446780272.8,N/A
COPPER ALLOY UNS C10100,Custom,1.10E+11,0.37,4.00E+10,0.000017,8900.0 kg/m³,390,390,394380000,N/A
"COPPER ALLOY, OXYGEN-FREE, UNS C10200, H04 TEMPER",Custom,1.15E+11,0.31,4.40E+10,0.000017,8940.0 kg/m³,391,385,310000000,N/A
1145-H18 ALUMINUM,Custom,6.90E+10,0.33,2.60E+10,2.36E-05,2700.0 kg/m³,227,904,145000000,N/A
2011 ALUMINUM,Custom,7.00E+10,0.33,2.60E+10,0.0000231,2820.0 kg/m³,152,864,275000000,N/A
2011-T3 ALUMINUM,Custom,7.03E+10,0.33,2.60E+10,0.0000229,2830.0 kg/m³,151,880,379000000,N/A
2024-T351 ALUMINUM,Custom,7.31E+10,0.33,2.80E+10,2.32E-05,2767.991252 kg/m³,121,875.0412,468843585.8,N/A
2024-T4 ALUMINUM,Custom,7.24E+10,0.33,2.80E+10,2.32E-05,2780.0 kg/m³,120,875,470000000,N/A
2024-T6 ALUMINUM,Custom,7.24E+10,0.33,2.70E+10,2.32E-05,2767.991252 kg/m³,151,875.0412,426785558.3,N/A
3003 ALUMINUM,Custom,69000003584,0.33,25999998976,0.000024,2700.0 kg/m³,170,1300,124084000,N/A
6061-T6 ALUMINUM,Custom,6.90E+10,0.33,2.60E+10,0.0000234,2700.001083 kg/m³,170,896,310000000,N/A
6061-T651 ALUMINUM,Custom,6.90E+10,0.33,2.60E+10,0.0000236,2700.0 kg/m³,170,1300,124084000,N/A
6061-T6511 ALUMINUM,Custom,6.90E+10,0.33,2.60E+10,2.36E-05,2700.001083 kg/m³,170,1300,310000000,N/A
6063 ALUMINUM,Custom,69000003584,0.33,25999998976,0.000024,2700.0 kg/m³,170,1300,124084000,N/A
7075-T6 ALUMINUM,Custom,7.17E+10,0.33,2.60E+10,2.40E-05,2810.0 kg/m³,170,1300,524000000,N/A
7075-T73 ALUMINUM,Custom,7.20E+10,0.33,2.69E+10,0.0000216,2810.0 kg/m³,155,960,505000000,N/A
